# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	6821
#@/user_id	d7bca733-c966-4bb9-82c2-6797267e84e9
a 	啊	c=11 d=2.40186 t=6639
a e 	啊哦	c=1 d=1 t=1437
a fu han 	阿富汗	c=1 d=0.955997 t=130
a si dun 	阿斯頓	c=0 d=0.1 t=3641
a si dun fa guo huo jiu kan le 	阿斯頓發過火就看了	c=1 d=1 t=3642
ai 	愛	c=0 d=0.1 t=5503
ai shang 	愛上	c=0 d=0.100009 t=5503
ai shang dui fang guo hou jiu ku le 	愛上對方過後就哭了	c=1 d=1 t=3641
ai shu cong 	矮樹叢	c=0 d=0.1 t=5503
ai wu ji wu 	愛屋及烏	c=1 d=1 t=6447
an 	安	c=1 d=0.1 t=6552
an 	按	c=1 d=1.08083 t=4509
an ni shuo de 	按你說的	c=1 d=1 t=3481
an pai 	安排	c=0 d=0.1 t=5196
an quan 	安全	c=1 d=1 t=6288
an quan mo shi 	安全模式	c=2 d=1.99005 t=5820
an quan xing 	安全性	c=0 d=0.1 t=6380
an sai 	安塞	c=0 d=0.0923116 t=6821
an sai kuang feng 	安塞狂風	c=1 d=0.927743 t=6821
an ti shi 	按提示	c=1 d=1 t=4466
an zhao 	按照	c=3 d=0.100021 t=6110
an zhuang 	安裝	c=7 d=0.670857 t=5851
an zhuang bao 	安裝包	c=1 d=1 t=5851
an zhuang cheng xu 	安裝程序	c=2 d=1.99005 t=6272
an zhuang dao 	安裝到	c=1 d=1 t=608
an zhuang le 	安裝了	c=1 d=1 t=4842
an zhuo 	安卓	c=1 d=1 t=5463
an zhuo mo ni qi 	安卓模擬器	c=2 d=1.91851 t=584
ao ri 	奥日	c=1 d=1 t=1362
ba 	吧	c=6 d=1.00633 t=5936
ba 	把	c=7 d=1.10804 t=6620
ba ba 	把把	c=0 d=0.1 t=6004
ba dai ma 	把代碼	c=1 d=1 t=5242
ba le 	罷了	c=2 d=1 t=3458
ba mei yi bu 	把每一步	c=1 d=1 t=4751
ba ni 	把你	c=2 d=1.8825 t=3049
ba ta men 	把他們	c=1 d=1 t=4932
ba wo de ming zi 	把我的名字	c=1 d=1 t=3854
ba wo men 	把我們	c=1 d=1 t=1517
ba xia lai 	拔下來	c=1 d=1 t=6623
bai 	擺	c=1 d=1 t=4793
bai bei 	百倍	c=1 d=1 t=6684
bai du 	百度	c=1 d=1 t=131
bai du wang pan 	百度网盘	c=1 d=1 t=5126
bai nian 	百年	c=0 d=0.0995012 t=130
bai nian wei you zhi da bian ju 	百年未有之大變局	c=1 d=1 t=130
bai piao 	白嫖	c=1 d=1 t=2099
bai tuo 	擺脫	c=1 d=1 t=459
ban 	半	c=1 d=0.127324 t=4507
ban 	版	c=2 d=1.08084 t=5570
ban ben 	版本	c=1 d=0.247342 t=5399
ban ben kong zhi 	版本控制	c=2 d=1.91678 t=6821
ban ben le 	版本了	c=1 d=1 t=5400
ban bian 	半邊	c=0 d=0.1 t=1102
ban bu 	頒佈	c=1 d=1 t=239
ban ge xiao shi 	半個小時	c=1 d=1 t=1520
ban kuan 	半款	c=1 d=1 t=4290
ban tian 	半天	c=0 d=0.1 t=641
ban yan 	扮演	c=3 d=2.48193 t=3489
bang mang 	幫忙	c=1 d=1 t=2739
bang ni 	幫你	c=0 d=0.1 t=5524
bang ni nai nai hai neng bu hui ba 	幫你奶奶還能不會吧	c=1 d=1 t=5525
bang wo 	幫我	c=5 d=1.05342 t=6255
bang zhu 	幫助	c=1 d=1 t=535
bao 	包	c=1 d=1 t=543
bao 	報	c=0 d=0.106457 t=6123
bao 	爆	c=0 d=0.1 t=5536
bao an 	保安	c=1 d=1 t=5546
bao chi 	保持	c=1 d=1 t=2459
bao cun 	保存	c=3 d=1 t=5719
bao cun dao 	保存到	c=2 d=1.12625 t=1394
bao cun dao de 	保存到的	c=1 d=1 t=1392
bao cun le 	保存了	c=1 d=1 t=3376
bao cuo 	報錯	c=6 d=1.9266 t=6146
bao fa 	爆發	c=1 d=1.01901 t=503
bao fa he 	爆發和	c=1 d=1 t=172
bao gao 	報告	c=1 d=1 t=5833
bao gao cuo wu 	報告錯誤	c=1 d=1 t=1860
bao gao ma 	報告嗎	c=1 d=1 t=1813
bao han 	包含	c=0 d=0.105182 t=3613
bao hu 	保護	c=1 d=1 t=304
bao kuo 	包括	c=9 d=1.93791 t=5813
bao kuo dan 	包括但	c=1 d=0.843665 t=130
bao nei cun 	爆內存	c=1 d=1 t=5537
bao sha 	爆殺	c=2 d=1.98511 t=2163
bao wen bei 	保溫杯	c=1 d=1 t=6656
bao xin xi 	報信息	c=1 d=1 t=5576
bao yi ge 	報一個	c=1 d=1 t=6124
bao zeng 	暴增	c=1 d=1 t=303
bao zheng 	保證	c=0 d=0.1 t=283
bao zheng eng de 	保證嗯的	c=1 d=1 t=284
bei 	倍	c=0 d=0.1 t=6685
bei 	被	c=8 d=1.4068 t=4346
bei bao 	背包	c=6 d=4.35284 t=5300
bei bao wen ti 	背包问题	c=4 d=2.97517 t=5328
bei dao er chi 	背道而馳	c=1 d=1 t=259
bei jing 	北京	c=1 d=1 t=5671
bei ren 	被人	c=1 d=1 t=6510
bei ta 	被他	c=1 d=1 t=6786
bei wo 	被我	c=1 d=1 t=890
bei xin qi yi 	背信棄義	c=1 d=1 t=2814
bei yue 	北約	c=1 d=1.02288 t=471
bei yue cheng yuan guo 	北約成員國	c=1 d=1 t=177
bei zhu ren 	被主人	c=1 d=1 t=2992
ben 	本	c=1 d=1 t=6419
ben ci 	本次	c=3 d=1.01548 t=2566
ben ci shi yan 	本次實驗	c=3 d=1.86906 t=2006
ben lai jiu shi 	本來就是	c=2 d=1.92774 t=3951
ben yi 	本意	c=1 d=1 t=258
beng 	泵	c=0 d=0.1 t=4046
bi 	比	c=3 d=1.93279 t=6692
bi 	逼	c=0 d=0.1 t=6044
bi ji 	筆記	c=1 d=1 t=4833
bi ji ben 	筆記本	c=2 d=1.13601 t=5893
bi jiao 	比較	c=2 d=1.00166 t=5170
bi jing 	畢竟	c=1 d=1 t=2690
bi jing zhi lu 	必經之路	c=1 d=1 t=1613
bi kai 	避開	c=0 d=0.1 t=2859
bi kai le 	避開了	c=1 d=1 t=2860
bi ran 	必然	c=0 d=0.1 t=3149
bi ran cun zai 	必然存在	c=1 d=1 t=3150
bi ru 	比如	c=1 d=1 t=4086
bi wan yi er 	逼玩意兒	c=1 d=1 t=6045
bi wo 	比我	c=1 d=1 t=1771
bi xu 	必須	c=3 d=1.3617 t=1822
bi xu shi 	必須是	c=1 d=1 t=2853
bian 	便	c=1 d=1 t=598
bian 	邊	c=0 d=0.1 t=1111
bian cheng 	編程	c=0 d=0.1 t=2622
bian cheng 	變成	c=2 d=1.12431 t=6172
bian cheng wo de 	變成我的	c=1 d=1 t=3034
bian cheng xia zai 	編程下載	c=2 d=1.94649 t=2634
bian cheng yu yan 	編程語言	c=4 d=3.00222 t=3521
bian hao 	編號	c=1 d=1 t=4056
bian hua 	變化	c=1 d=1 t=2564
bian ji 	編輯	c=0 d=0.1 t=5717
bian ji he 	編輯和	c=1 d=1 t=5718
bian ji qi 	編輯器	c=2 d=1.68045 t=832
bian jie tiao jian 	边界条件	c=2 d=1.99005 t=4579
bian ju 	變局	c=0 d=0.0995012 t=130
bian liang 	變量	c=1 d=1.08025 t=4239
bian liang ming 	變量名	c=2 d=1.00005 t=6164
bian ma 	編碼	c=2 d=0.913931 t=6821
bian xie 	編寫	c=10 d=1.77519 t=6189
bian xie yi ge 	編寫一個	c=1 d=1 t=4851
bian yi 	編譯	c=7 d=1.00048 t=6282
bian yi qi 	編譯器	c=5 d=1.31915 t=1307
bian yi qi shang 	編譯器上	c=1 d=1 t=1153
bian yi yuan li 	編譯原理	c=2 d=1.74453 t=583
biao 	標	c=1 d=1 t=686
biao 	表	c=3 d=1.0802 t=4935
biao da 	表達	c=1 d=1.01612 t=3619
biao da guo de 	表達過的	c=1 d=1 t=3255
biao da shi 	表達式	c=1 d=1 t=863
biao ge 	表格	c=1 d=1 t=1833
biao ji 	標記	c=3 d=2.78845 t=6811
biao ji wei 	標記爲	c=2 d=1.97531 t=1638
biao ji yi xia 	標記一下	c=1 d=1 t=1653
biao mian shang de 	表面上的	c=1 d=1 t=2916
biao qian 	標籤	c=1 d=1 t=4924
biao qing bao 	表情包	c=1 d=1 t=620
biao xian 	表現	c=2 d=1.02604 t=3919
biao xian chu 	表現出	c=1 d=1 t=3582
biao xian de 	表現得	c=1 d=1 t=3942
biao xian wei 	表現爲	c=1 d=1 t=187
biao yan 	表演	c=1 d=1 t=5686
biao zhong 	表中	c=0 d=0.179057 t=1739
biao zhong de 	表中的	c=3 d=1.73301 t=1922
biao zhun 	標準	c=2 d=1.1 t=4395
biao zhun shu ru 	标准输入	c=4 d=1 t=4709
bie 	別	c=0 d=0.1 t=6633
bie ba 	別吧	c=1 d=1 t=3647
bie chai le 	別拆了	c=1 d=1 t=6634
bie de 	別的	c=0 d=0.1 t=2862
bie de jue se 	別的角色	c=1 d=1 t=2863
bie de xi 	別的系	c=1 d=1 t=1511
bie yong 	別用	c=1 d=1 t=1384
bing 	並	c=10 d=1.17449 t=6215
bing 	病	c=1 d=1 t=5654
bing an zhao 	並按照	c=1 d=1 t=6111
bing an zhuang 	並安裝	c=1 d=1 t=5852
bing bu 	並不	c=0 d=0.1 t=3464
bing bu shi 	並不是	c=2 d=1.00014 t=5138
bing bu xiang 	並不像	c=1 d=1 t=2915
bing bu xu yao 	並不需要	c=1 d=1 t=1065
bing cha zhao 	並查找	c=2 d=1.00436 t=2251
bing chong xin qi dong 	並重新啓動	c=1 d=1 t=5872
bing de 	並得	c=0 d=0.1 t=1154
bing de dao le 	並得到了	c=1 d=1 t=1155
bing ding yi 	並定義	c=1 d=1 t=1692
